document_name,call_time,union_name,actor_name,role_type,role,rate,phone,confidence
RECREATED Skins 1.pdf,,,Ralph Francisco,stand-in,STAND INS,$262/8,,0.727
RECREATED Skins 1.pdf,,,Rob Odelmo,stand-in,STAND INS,$262/8,222-999-3333,0.79
RECREATED Skins 1.pdf,,,Ruffa Ortega,background,BREMEN MALE STAFF,$144/8,333-233-9999,0.79
RECREATED Skins 1.pdf,,,Janice Torno,background,BREMEN MALE STAFF,$144/8,222-999-3333,0.79
RECREATED Skins 1.pdf,,,Miel Eugenio,background,BREMEN MALE STAFF,$144/8,555-666-8888,0.79
RECREATED Skins 1.pdf,,,Lloyd Paz,background,BREMEN MALE STAFF,$144/8,444-555-9999,0.79
RECREATED Skins 1.pdf,,,Ray Ramos,background,BREMEN MALE STAFF,$224/8,777-555-4444,0.79
RECREATED Skins 1.pdf,,,Andre Babao,background,BREMEN MALE STAFF,$144/8,666-111-4444,0.79
RECREATED Skins 1.pdf,,,Miller Mendoza,background,BREMEN MALE STAFF,$144/8,555-444-5566,0.79
RECREATED Skins 1.pdf,,,Web Aquiono,background,BREMEN MALE STAFF,$144/8,777-666-8899,0.79
RECREATED Skins 1.pdf,,,Rose Sevila,background,BREMEN MALE STAFF,$144/8,999-888-7766,0.79
RECREATED Skins 1.pdf,,,Ralph Francisco,,BREMEN CAPTAIN IN BRIDGE,$224/8,626-703-7092,0.727
RECREATED Skins 1.pdf,,,Ralph Francisco,,OFFICERS IN BRIDGE,$262/8,333-233-9999,0.727
RECREATED Skins 1.pdf,,,Rob Odelmo,,OFFICERS IN BRIDGE,$262/8,222-999-3333,0.727
RECREATED Skins 1.pdf,,,Ralph Francisco,,BREMEN WAITSTAFF Cruise Ship Deck,$262/8,333-233-9999,0.727
RECREATED Skins 1.pdf,,,Rob Odelmo,,BREMEN WAITSTAFF Cruise Ship Deck,$262/8,222-999-3333,0.727
RECREATED Skins 1.pdf,,,Ruffa Ortega,background,BREMEN GUESTS,$144/8,333-233-9999,0.79
RECREATED Skins 1.pdf,,,Janice Torno,background,BREMEN GUESTS,$144/8,222-999-3333,0.79
RECREATED Skins 1.pdf,,,Miel Eugenio,background,BREMEN GUESTS,$144/8,555-666-8888,0.79
RECREATED Skins 1.pdf,,,Lloyd Paz,background,BREMEN GUESTS,$144/8,444-555-9999,0.79
RECREATED Skins 1.pdf,,,Ray Ramos,background,BREMEN GUESTS,$224/8,777-555-4444,0.79
RECREATED Skins 1.pdf,,,Andre Babao,background,BREMEN GUESTS,$144/8,666-111-4444,0.79
RECREATED Skins 1.pdf,,,Miller Mendoza,background,BREMEN GUESTS,$144/8,555-444-5566,0.79
RECREATED Skins 1.pdf,,,Web Aquiono,background,BREMEN GUESTS,$144/8,777-666-8899,0.79
RECREATED Skins 1.pdf,,,Rose Sevila,background,BREMEN GUESTS,$144/8,999-888-7766,0.79
RECREATED Skins 2.pdf,8:00AM,,Ralph Francisco,stand-in,STAND INS,VOUCHER + $80/hr (min of 4 hrs),223-333-4455,0.79
RECREATED Skins 2.pdf,8:00AM,,Rob Odelmo,stand-in,STAND INS,,566-477-8888,0.295
RECREATED Skins 2.pdf,8:00AM,,Jezze Ignacio,stand-in,STAND INS,,998-666-7868,0.295
RECREATED Skins 2.pdf,8:00AM,,Jeremiah Tapang,stand-in,STAND INS,,777-766-3666,0.295
RECREATED Skins 2.pdf,10:30AM,,Janice Torno,stand-in,STAND IN,,516-468-0404,0.295
RECREATED Skins 2.pdf,8:45AM,,Miller Mendoza,background,MEDICAL EMPLOYEES,,999-444-3333,0.295
RECREATED Skins 2.pdf,8:45AM,,Jasper Banzuela,background,MEDICAL EMPLOYEES,,646-466-3666,0.295
RECREATED Skins 2.pdf,8:45AM,,Drei Babao,background,ND PEDS,,555-444-6677,0.295
RECREATED Skins 2.pdf,8:45AM,,Gregor Francisco,background,ND PEDS,,999-777-5555,0.295
RECREATED Skins 2.pdf,8:45AM,,Web Aquino,background,ND PEDS,,777-555-4444,0.295
RECREATED Skins 2.pdf,8:45AM,,Rose Sevila,background,ND PEDS,,333-445-7777,0.295
RECREATED Skins 2.pdf,8:45AM,,Miel Eugenio,background,ND PEDS,,555-445-8855,0.295
RECREATED Skins 2.pdf,8:45AM,,Stephen Yeh,background,ND PEDS,,333-444-8811,0.295
RECREATED Skins 2.pdf,8:45AM,,Jezzie Ignacio,background,ND PEDS,,222-111-4488,0.295
RECREATED Skins 2.pdf,8:45AM,,Marz Valdez,background,ND PEDS,,999-667-8888,0.295
RECREATED Skins 4.pdf,7:12 AM,union,Ralph Francisco,stand-in,STAND INS,$262/8,112-223-4455,0.853
RECREATED Skins 4.pdf,7:12 AM,union,Rob Odelmo,stand-in,STAND INS,$262/8,122-233-4555,0.853
RECREATED Skins 4.pdf,7:12 AM,union,Janice Torno,stand-in,STAND INS,$262/8,222-333-5555,0.853
RECREATED Skins 4.pdf,11:30 AM,union,Ruffa Ortega,stand-in,STAND INS,$262/8,223-334-5556,0.853
RECREATED Skins 4.pdf,7:00 AM,union,Miller Mendoza,,BURGLAR #2,$224/8,233-344-5666,0.79
RECREATED Skins 4.pdf,,union,Jasper Banzales,,PRECISION DRIVER,$500/8,333-444-5556,0.727
RECREATED Skins 4.pdf,,union,Drei Babao,,PRECISION DRIVER,$250,334-455-5666,0.727
RECREATED Skins 4.pdf,,union,Miel Eugenio,background,PARKED CARS,$224/8 + 250,818-391-2166,0.79
RECREATED Skins 4.pdf,,union,Janice Torno,background,PARKED CARS,$224/8 + 250,818-512-6987,0.79
RECREATED Skins 4.pdf,,union,Lloyd Paz,background,PARKED CARS,$224/8 + 250,323-646-0977,0.79
RECREATED Skins 4.pdf,,union,Ray Ramos,background,PARKED CARS,$224/8 + 250,818-269-2608,0.79
RECREATED Skins 4.pdf,,union,Web Aquino,background,PARKED CARS,$224/8 + 250,562-587-7834,0.79
RECREATED Skins 4.pdf,,union,Rose Sevila,background,PARKED CARS,$224/8 + 250,323-617-0374,0.79
RECREATED Skins 5.pdf,,,Ralph Francisco,stand-in,Stand Ins,,818-208-5757,0.295
RECREATED Skins 5.pdf,,union,Rob Odelmo,photo double,Photo Doubles,,818-208-5757,0.327
RECREATED Skins 5.pdf,,union,Ruffa Ortega,photo double,Photo Doubles,$150,818-208-5757,0.853
RECREATED Skins 3.csv,,,Ralph Francisco,stand-in,STAND INS,,123-456-7890,0.295
RECREATED Skins 3.csv,,,Rob Odelmo,stand-in,STAND INS,,112-344-5678,0.295
RECREATED Skins 3.csv,,,Ruffa Ortega,stand-in,STAND INS,,122-334-5566,0.295
RECREATED Skins 3.csv,,,Janice Torno,background,BACKGROUND,,223-334-7788,0.295
RECREATED Skins 3.csv,,,Lloyd Paz,background,BACKGROUND,,333-456-8899,0.295
RECREATED Skins 3.csv,,,Web Aquino,background,BACKGROUND,,444-666-7766,0.295
RECREATED Skins 3.csv,,non-union,Rose Sevilla,,FITTING,$125,555-778-5544,0.79
