document_name,call_time,union_name,actor_name,role_type,role,rate,phone,confidence,email,notes,rate_amount,rate_unit,rate_modifiers,cancelled,confidence_tier,confidence_breakdown,source,extraction_method
RECREATED Skins 1.pdf,,,Ralph Francisco,stand-in,STAND INS,$262/8,,0.727,iralph.francisco+20@everyset.com,,262.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.0, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 1.pdf,,,Rob Odelmo,stand-in,STAND INS,$262/8,222-999-3333,0.79,rob.odelmo+20@everyset.com,,262.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 1.pdf,,,Ruffa Ortega,background,BREMEN MALE STAFF,$144/8,333-233-9999,0.79,iralph.francisco+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y170,deterministic
RECREATED Skins 1.pdf,,,Janice Torno,background,BREMEN MALE STAFF,$144/8,222-999-3333,0.79,rob.odelmo+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y178,deterministic
RECREATED Skins 1.pdf,,,Miel Eugenio,background,BREMEN MALE STAFF,$144/8,555-666-8888,0.79,miel.eugenio+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y187,deterministic
RECREATED Skins 1.pdf,,,Lloyd Paz,background,BREMEN MALE STAFF,$144/8,444-555-9999,0.79,lloyd.paz+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y195,deterministic
RECREATED Skins 1.pdf,,,Ray Ramos,background,BREMEN MALE STAFF,$224/8,777-555-4444,0.79,ray.ramos+30@everyset.com,,224.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y203,deterministic
RECREATED Skins 1.pdf,,,Andre Babao,background,BREMEN MALE STAFF,$144/8,666-111-4444,0.79,andre.babao+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y211,deterministic
RECREATED Skins 1.pdf,,,Miller Mendoza,background,BREMEN MALE STAFF,$144/8,555-444-5566,0.79,miller.mendoza+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y220,deterministic
RECREATED Skins 1.pdf,,,Web Aquiono,background,BREMEN MALE STAFF,$144/8,777-666-8899,0.79,webster.aquino+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y228,deterministic
RECREATED Skins 1.pdf,,,Rose Sevila,background,BREMEN MALE STAFF,$144/8,999-888-7766,0.79,rose.sevila+30@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y236,deterministic
RECREATED Skins 1.pdf,,,Ralph Francisco,,BREMEN CAPTAIN IN BRIDGE,$224/8,626-703-7092,0.727,40@everyset.com,,224.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y349,deterministic
RECREATED Skins 1.pdf,,,Ralph Francisco,,OFFICERS IN BRIDGE,$262/8,333-233-9999,0.727,iralph.francisco+50@everyset.com,,262.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y383,deterministic
RECREATED Skins 1.pdf,,,Rob Odelmo,,OFFICERS IN BRIDGE,$262/8,222-999-3333,0.727,rob.odelmo+50@everyset.com,,262.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y391,deterministic
RECREATED Skins 1.pdf,,,Ralph Francisco,,BREMEN WAITSTAFF Cruise Ship Deck,$262/8,333-233-9999,0.727,iralph.francisco+60@everyset.com,,262.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y426,deterministic
